accuracy: 1.0 with M=1, maxIter=20, eps=0.0
accuracy: 1.0 with M=2, maxIter=20, eps=0.0
accuracy: 0.9375 with M=3, maxIter=20, eps=0.0
accuracy: 0.96875 with M=4, maxIter=20, eps=0.0
accuracy: 1.0 with M=5, maxIter=20, eps=0.0
accuracy: 1.0 with M=6, maxIter=20, eps=0.0
accuracy: 1.0 with M=7, maxIter=20, eps=0.0
accuracy: 0.96875 with M=8, maxIter=20, eps=0.0
accuracy: 1.0 with M=9, maxIter=20, eps=0.0
accuracy: 1.0 with M=10, maxIter=20, eps=0.0
accuracy: 1.0 with M=11, maxIter=20, eps=0.0
accuracy: 1.0 with M=12, maxIter=20, eps=0.0
accuracy: 1.0 with M=13, maxIter=20, eps=0.0
accuracy: 1.0 with M=14, maxIter=20, eps=0.0
accuracy: 1.0 with M=8, maxIter=20, eps=0.0
accuracy: 0.96875 with M=8, maxIter=20, eps=0.1
accuracy: 0.9375 with M=8, maxIter=20, eps=0.2
accuracy: 0.9375 with M=8, maxIter=20, eps=0.30000000000000004
accuracy: 0.875 with M=8, maxIter=20, eps=0.4
accuracy: 0.90625 with M=8, maxIter=20, eps=0.5
accuracy: 1.0 with M=8, maxIter=20, eps=0.6000000000000001
accuracy: 1.0 with M=8, maxIter=20, eps=0.7000000000000001
accuracy: 0.9375 with M=8, maxIter=20, eps=0.8
accuracy: 0.9375 with M=8, maxIter=20, eps=0.9
accuracy: 1.0 with M=8, maxIter=20, eps=1.0
accuracy: 0.96875 with M=8, maxIter=20, eps=1.1
accuracy: 0.90625 with M=8, maxIter=20, eps=1.2000000000000002
accuracy: 0.9375 with M=8, maxIter=20, eps=1.3
accuracy: 0.9375 with M=8, maxIter=20, eps=1.4000000000000001
accuracy: 0.96875 with M=8, maxIter=20, eps=1.5
accuracy: 0.8125 with M=8, maxIter=20, eps=1.6
accuracy: 0.90625 with M=8, maxIter=20, eps=1.7000000000000002
accuracy: 0.9375 with M=8, maxIter=20, eps=1.8
accuracy: 0.90625 with M=8, maxIter=20, eps=1.9000000000000001
accuracy: 0.8125 with M=8, maxIter=20, eps=2.0
accuracy: 0.84375 with M=8, maxIter=20, eps=2.1
accuracy: 0.875 with M=8, maxIter=20, eps=2.2
accuracy: 0.9375 with M=8, maxIter=20, eps=2.3000000000000003
accuracy: 0.875 with M=8, maxIter=20, eps=2.4000000000000004
accuracy: 0.96875 with M=8, maxIter=20, eps=2.5
accuracy: 0.9375 with M=8, maxIter=20, eps=2.6
